id;name;age;height;weight;nationality;club;rating;value_M;wage_K;preferred_foot;real_face;position;jersey_number;pace;shooting;passing;dribbling;defending;physic;heading;free_kick;ball_control;acceleration;speed;real_face_Yes;preferred_foot_Right
158023;L. Messi;32;170;72;Argentina;FC Barcelona;94;95.5;565;Left;Yes;RM;10;87;92;92;96;39;66;70;94;96;91;84;1;0
20801;Cristiano Ronaldo;34;187;83;Portugal;Juventus;93;58.5;405;Right;Yes;ST;7;90;93;82;89;35;78;89;76;92;89;91;1;1
190871;Neymar Jr;27;175;68;Brazil;Paris Saint-Germain;92;105.5;290;Right;Yes;LM;10;91;85;87;95;32;58;62;87;95;94;89;1;1
200389;J. Oblak;26;188;87;Slovenia;Atlético Madrid;91;77.5;125;Right;Yes;GK;13;;;;;;;15;14;30;43;60;1;1
183277;E. Hazard;28;175;74;Belgium;Real Madrid;91;90;470;Right;Yes;LM;7;91;83;86;94;35;66;61;79;94;94;88;1;1
192985;K. De Bruyne;28;181;70;Belgium;Manchester City;91;90;370;Right;Yes;CM;17;76;86;92;86;61;78;55;83;91;77;76;1;1
192448;M. ter Stegen;27;187;85;Germany;FC Barcelona;90;67.5;250;Right;Yes;GK;1;;;;;;;11;12;30;38;50;1;1
203376;V. van Dijk;27;193;92;Netherlands;Liverpool;90;78;200;Right;Yes;CB;4;77;60;70;71;90;86;86;70;76;74;79;1;1
177003;L. Modrić;33;172;66;Croatia;Real Madrid;90;45;340;Right;Yes;CM;10;74;76;89;89;72;66;55;78;92;77;71;1;1
209331;M. Salah;27;175;71;Egypt;Liverpool;90;80.5;240;Left;Yes;RM;11;93;86;81;89;45;74;59;69;89;94;92;1;0
231747;K. Mbappé;20;178;73;France;Paris Saint-Germain;89;93.5;155;Right;Yes;ST;7;96;84;78;90;39;75;77;63;90;96;96;1;1
201024;K. Koulibaly;28;187;89;Senegal;Napoli;89;67.5;150;Right;Yes;CB;26;71;28;54;67;89;87;83;28;71;69;73;1;1
202126;H. Kane;25;188;89;England;Tottenham Hotspur;89;83;220;Right;Yes;ST;10;70;91;79;81;47;83;86;68;84;68;72;1;1
212831;Alisson;26;191;91;Brazil;Liverpool;89;58;155;Right;Yes;GK;1;;;;;;;19;18;30;56;47;1;1
193080;De Gea;28;192;82;Spain;Manchester United;89;56;205;Right;Yes;GK;1;;;;;;;21;19;38;57;58;1;1
215914;N. Kanté;28;168;72;France;Chelsea;89;66;235;Right;Yes;CM;7;78;65;77;81;87;83;54;49;80;79;77;1;1
138956;G. Chiellini;34;187;85;Italy;Juventus;89;24.5;215;Left;Yes;CB;3;68;46;58;60;90;82;83;31;61;61;73;1;0
153079;S. Agüero;31;173;70;Argentina;Manchester City;89;60;300;Right;Yes;ST;10;80;90;77;88;33;74;78;73;89;82;78;1;1
155862;Sergio Ramos;33;184;82;Spain;Real Madrid;89;31.5;300;Right;Yes;CB;4;72;68;75;73;87;85;92;72;83;74;71;1;1
176580;L. Suárez;32;182;86;Uruguay;FC Barcelona;89;53;355;Right;Yes;ST;9;73;89;80;84;51;84;83;82;84;76;70;1;1
188545;R. Lewandowski;30;184;80;Poland;FC Bayern München;89;64.5;235;Right;Yes;ST;9;77;87;74;85;41;82;85;85;88;77;77;1;1
189511;Sergio Busquets;30;189;76;Spain;FC Barcelona;89;55;300;Right;Yes;CM;5;42;62;80;80;85;80;68;68;88;40;43;1;1
194765;A. Griezmann;28;176;73;France;FC Barcelona;89;69;370;Left;Yes;ST;17;81;86;84;89;57;72;84;85;90;82;81;1;0
211110;P. Dybala;25;177;75;Argentina;Juventus;88;76.5;215;Left;Yes;CM;10;83;82;84;90;43;64;64;88;93;86;81;1;0
195864;P. Pogba;26;191;84;France;Manchester United;88;72.5;250;Right;Yes;CM;6;74;81;86;85;66;86;75;82;90;67;79;1;1
210257;Ederson;25;188;86;Brazil;Manchester City;88;54.5;185;Left;Yes;GK;31;;;;;;;14;20;40;64;63;1;0
202652;R. Sterling;24;170;69;England;Manchester City;88;73;255;Right;Yes;RM;7;93;79;78;89;45;57;38;63;88;96;91;1;1
190460;C. Eriksen;27;181;76;Denmark;Tottenham Hotspur;88;68;205;Right;Yes;CM;23;73;81;90;84;53;63;52;86;91;75;71;1;1
192119;T. Courtois;27;199;96;Belgium;Real Madrid;88;48;235;Left;Yes;GK;13;;;;;;;13;20;23;46;52;1;0
152729;Piqué;32;194;85;Spain;FC Barcelona;88;38;285;Right;Yes;CB;3;56;61;72;68;88;80;85;43;82;48;63;1;1
162835;S. Handanovič;34;193;92;Slovenia;Inter;88;26;110;Right;Yes;GK;1;;;;;;;10;14;16;51;55;1;1
167495;M. Neuer;33;193;92;Germany;FC Bayern München;88;32;155;Right;Yes;GK;1;;;;;;;25;11;46;54;60;1;1
167948;H. Lloris;32;188;82;France;Tottenham Hotspur;88;36;150;Left;Yes;GK;1;;;;;;;10;10;34;65;62;1;0
168542;David Silva;33;173;67;Spain;Manchester City;88;36;265;Left;Yes;CM;21;65;74;88;89;52;57;54;77;92;69;61;1;0
179813;E. Cavani;32;185;77;Uruguay;Paris Saint-Germain;88;47;195;Right;Yes;ST;9;75;86;72;79;55;83;89;76;81;74;76;1;1
